"id","nombre","fecha_genero","eliminado","codigo","marca","unidad"
29841,"Tubería de acero al carbono 30"" de acuerdo con especificación API-5L Gr B PSL2 con costura longitudinal recta y extremos biselados para soldar, espesor 1.125”","2024-12-03",False,"TPC001","S/M","Mt(s)"
29842,"Tubería de acero al carbono 36"" de acuerdo con especificación API 5L PSL 2 Gr. X52 con costura longitudinal recta y extremos biselados para soldar, espesor 1""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29843,"Tubería de acero al carbono 16"" de acuerdo con especificación API-5L Gr B PSL2 sin costura y extremos biselados para soldar, espesor 0.688""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29844,"Tubería de acero al carbono 20"" de acuerdo con especificación API-5L Gr B PSL2 sin costura y extremos biselados para soldar, espesor 0.875""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29845,"Tubería de acero al carbono 24"" de acuerdo con especificación API-5L PSL2 GR X52 sin costura y extremos biselados para soldar, espesor 1.0""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29846,"Tubería de acero al carbono 3/4"" de acuerdo con especificación API-5L Gr B PSL2 sin costura longitudinal recta y extremos biselados para soldar, espesor 0.15""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29847,"Tubería de acero al carbono 2"" de acuerdo con especificación API-5L GRADO B PSL2 sin costura longitudinal recta y extremos biselados para soldar, espesor 0.25""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29848,"Tubería de acero al carbono 16"" de acuerdo con especificación API-5L GRADO B PSL2 sin costura y extremos biselados para soldar, espesor 0.688""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29849,"Tubería de acero al carbono 20"" de acuerdo con especificación API-5L GRADO B PSL2 sin costura y extremos biselados para soldar, espesor 0.875""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29863,"Nipolet: 2""- Mat: AC - 3000 lbs A105/A106, extremos: soldable-soldable. Para instalarse en tubería de 6"" de diámetro Cédula XS","2024-12-09",False,"TPC005","S/M","Pieza"
29864,"Válvula de Bola de 2"" de Diámetro 3000 lbs, cuerpos de Acero al Carbono, internos Estándar; Para servicio WOG; Extremos: Soldable-Soldable Cédula XS","2024-12-09",False,"TVV001","S/M","Pieza"
29865,"Niple Sin Costura de 2"" Soldable/Roscado ASTM A106 Gr B (CED XS)","2024-12-09",False,"TPC004","S/M","Pieza"
29914,"Servicio de pruebas de durezas","2025-01-09",False,"GSVPND",NULL,"SRV"
29915,"Broca 1"" Zanco Cónico Acero alta velocidad No. de Catálogo: 01-120-064","2025-01-09",False,"GCN030","TTC","Pieza"
29916,"Broca 1 1/4"" Zanco Cónico Acero alta velocidad No. de Catálogo:01-120-080","2025-01-09",False,"GCN030","TTC","Pieza"
29917,"Broca 1 5/8"" Zanco Cónico Acero alta velocidad No. de Catálogo:01-120-104","2025-01-09",False,"GCN030","TTC","Pieza"
29931,"Perno sólido rectificado de 3/16"" X 1/2"" largo. Material: Ac. Carbón","2025-01-13",False,"GTR010","S/M","Pieza"
29593,"Medio cople roscado, Mat: A. C. 3000#, 2"" NPT","2024-09-27",False,"MDCPL2X3000NPT","S/M","Pieza"
29594,"Cortador Angular Doble 60° 2-3/4"" x 1/2"" x 1"" Acero A.V. ","2024-09-27",False,"CRT60°2-3/4X1/2X1","TTC","Pieza"
29850,"Tubería de acero al carbono 24"" de acuerdo con especificación API-5L PSL2 GR X52 sin costura y extremos biselados para soldar, espesor 1.0""","2024-12-03",False,"TPC001","S/M","Mt(s)"
29851,"Silleta de reforzamiento 24""x4"" Parte 2
Espesor 0.625”
Material MSS SP75 WPHY-52
Con barras para instalación ","2024-12-03",False,"TFT007","S/M","Pieza"
29852,"Nipple para Hot Tap 4”  con brida WN 600# RTJ 
Biselado para tubería de 24”
Sin soldar
Material API 5L X52
Material de brida A694 F52","2024-12-03",False,"TFT008","S/M","Pieza"
29853,"Brida ciega 4” 600# RTJ Material API-5L-X52","2024-12-03",False,"TPC014","S/M","Pieza"
29866,"Inserto de acoplamiento de mandíbula, flexible tipo sólido NBR","2024-12-09",False,"GCN031","S/M","Pieza"
29932,"Tornillo Cab. Avellanada 8-32 X 3/4"" largo. Material: Ac. Carbon","2025-01-13",False,"GTR011","S/M","Pieza"
25093,"Brida ciega 24"" clase 600 rtj a105n trilad","2023-08-11",False,"ALB-0007","S/M","Pieza"
25218,"Adaptador tipo rf clase 300 de 3","2023-08-11",False,"GPT-ATM-4-600-RTJ-01",NULL,"Pieza"
29595,"Recubrimiento anticorrosivo epóxico protal 7200 ","2024-09-27",False,"TRC007","DENSO","Ltrs"
29854,"Válvula de Compuerta Sólida Plana “Slab Gate”
Diámetro nominal 4”
Clase de presión: Clase 600# conforme a ASME B16.34
","2024-12-04",False,"TVV003","WALWORTH","Pieza"
25219,"Adaptador tipo rf clase 300 de 3","2023-08-11",False,"GPT-ATM-4-600-RTJ-02",NULL,"Pieza"
29867,"Cemento","2024-12-09",False,"TCN042","S/M","Kilos"
29868,"Arena","2024-12-09",False,"TCN043","S/M","Kilos"
